Name,Pos,Nationality,GP,Possible_GP,Qualify_Pct,TOI_GP,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,G_60,A_60,PTS_60,SOG_60,BLK_60,HIT_60,PP_PTS_60,PIM_GP,PlusMinus_GP,Height_in,Weight_lbs,BMI,Fights,CF_pct_5v5,xGF_pct_5v5,ixG_60_5v5
Alex Tuch,RW,USA,310.0,328,0.9451,19.206397849462366,14.846075268817202,2.4743010752688166,1.886021505376344,1.28,1.451,2.731,8.072,3.336,2.832,0.514,0.574,0.203,76.0,219.0,26.65,6,50.56,49.35,0.772
Alex Vlasic,D,USA,245.0,328,0.747,21.891768707482996,18.587891156462582,0.7133333333333334,2.5905442176870745,0.089,0.671,0.761,2.953,4.844,1.667,0.157,0.302,-0.18,78.0,217.0,25.07,4,44.2,43.45,0.116
Alexander Kerfoot,C,CAN,279.0,328,0.8506,15.388291517323777,12.360095579450418,0.8685185185185186,2.1596774193548387,0.573,1.076,1.649,5.087,3.019,3.019,0.224,0.333,-0.043,71.0,185.0,25.8,1,53.74,53.2,0.669
Alexander Nikishin,D,RUS,81.0,82,0.9878,18.166666666666664,15.65,1.4333333333333331,1.0833333333333333,0.449,0.897,1.346,4.975,3.833,5.382,0.408,0.407,0.222,75.0,218.0,27.25,1,58.36,55.83,0.251
Alexander Romanov,D,RUS,236.0,328,0.7195,20.67422316384181,18.648234463276832,0.04922316384180788,1.9767655367231638,0.16,0.639,0.799,4.107,6.099,6.554,0.0,0.377,0.144,73.0,220.0,29.02,1,47.07,47.69,0.151
Alexander Wennberg,C,SWE,318.0,328,0.9695,18.96493710691824,14.429926624737945,2.531761006289308,2.003249475890985,0.507,1.065,1.572,3.641,3.094,1.462,0.398,0.208,-0.167,74.0,190.0,24.39,0,47.7,45.55,0.302
Alexandre Carrier,D,CAN,268.0,328,0.8171,19.231902985074626,16.693097014925375,0.22891791044776114,2.3098880597014926,0.186,0.698,0.885,3.062,6.147,2.643,0.012,0.541,-0.004,71.0,174.0,24.27,1,48.37,48.33,0.159
Alexey Toropchenko,RW,RUS,296.0,328,0.9024,12.268975225225228,10.978772522522522,0.08265765765765762,1.2075450450450451,0.529,0.611,1.14,5.915,3.47,10.607,0.0,0.321,-0.03,78.0,225.0,26.0,3,42.54,43.28,0.719
Alexis LafreniÃ¨re,LW,,327.0,328,0.997,16.754791029561673,15.087257900101935,1.6550458715596332,0.012487257900101887,0.931,1.237,2.168,7.326,1.292,4.567,0.318,0.401,-0.024,,,,0,,,
Aliaksei Protas,C,BLR,288.0,328,0.878,15.15798611111111,13.738888888888889,0.233912037037037,1.1851851851851851,0.893,1.333,2.227,6.831,1.91,1.732,0.027,0.201,0.17,78.0,250.0,28.89,0,51.91,50.92,0.788
Anders Lee,LW,USA,327.0,328,0.997,16.35244648318043,14.10499490316004,2.2474515800203876,0.0,1.077,0.976,2.053,9.324,2.098,5.756,0.404,0.602,0.006,75.0,234.0,29.24,11,51.43,53.26,1.239
Andrei Kuzmenko,F,RUS,271.0,328,0.8262,15.455166051660514,12.483825338253382,2.9713407134071343,0.0,1.218,1.39,2.607,5.959,1.017,0.917,0.917,0.185,-0.037,71.0,200.0,27.89,0,52.79,52.46,0.619
Andrei Svechnikov,RW,RUS,274.0,328,0.8354,17.24257907542579,14.263503649635036,2.9628345498783455,0.01624087591240872,1.181,1.676,2.857,9.296,0.978,7.341,1.016,0.927,0.044,75.0,200.0,25.0,2,59.28,53.97,0.88
Andrew Copp,C,USA,296.0,328,0.9024,16.555236486486486,13.56233108108108,1.116554054054054,1.8763513513513512,0.502,1.224,1.726,5.045,2.388,1.445,0.208,0.28,0.024,73.0,200.0,26.38,1,47.02,47.81,0.658
Andrew Mangiapane,LW,CAN,300.0,328,0.9146,14.67011111111111,12.884944444444445,1.2115555555555557,0.5736111111111111,0.723,1.009,1.731,6.23,1.595,4.281,0.15,0.51,-0.007,70.0,183.0,26.25,0,51.34,51.38,0.733
Andrew Peeke,D,USA,271.0,328,0.8262,19.277367773677735,16.922386223862237,0.04268142681426811,2.31230012300123,0.149,0.471,0.62,3.319,6.156,5.49,0.0,0.269,-0.236,75.0,214.0,26.75,1,46.87,45.06,0.123
AndrÃ© Burakovsky,LW,,252.0,328,0.7683,15.43425925925926,13.334854497354497,2.0994047619047618,0.0,0.632,1.296,1.928,6.14,1.404,1.25,0.632,0.222,-0.234,,,,0,,,
Anthony Beauvillier,LW,CAN,305.0,328,0.9299,14.684754098360655,13.32606557377049,0.9125136612021856,0.44617486338797807,0.71,0.764,1.474,7.837,1.996,4.863,0.134,0.249,-0.03,71.0,181.0,25.24,0,49.32,50.38,0.93
Anthony Cirelli,C,CAN,288.0,328,0.878,17.850289351851853,14.41111111111111,1.1604166666666667,2.278761574074074,0.945,1.214,2.159,6.127,2.801,2.019,0.21,0.51,0.288,73.0,193.0,25.46,3,54.41,56.46,0.828
Anthony Mantha,RW,CAN,235.0,328,0.7165,14.51,12.842269503546099,1.6677304964539006,0.0,1.249,1.249,2.499,7.021,1.812,3.361,0.422,0.468,0.081,77.0,240.0,28.46,6,49.74,52.92,0.728
Anton Lundell,C,FIN,294.0,328,0.8963,16.780215419501133,13.333956916099773,1.635997732426304,1.8102607709750564,0.73,1.18,1.909,7.455,1.958,3.345,0.377,0.541,0.099,73.0,196.0,25.86,1,54.53,51.97,0.72
AnÅ¾e Kopitar,C,,311.0,328,0.9482,19.49951768488746,15.143890675241158,2.9378885316184356,1.4177384780278672,0.861,1.603,2.464,4.957,2.77,1.672,0.762,0.129,0.206,,,,0,,,
Arber Xhekaj,D,CAN,230.0,328,0.7012,14.088478260869564,13.23913043478261,0.3714492753623188,0.47789855072463766,0.185,0.426,0.611,4.537,3.722,11.888,0.056,1.809,-0.104,76.0,240.0,29.21,28,47.27,46.67,0.141
Arseny Gritsyuk,RW,RUS,66.0,82,0.8049,15.15,14.116666666666667,1.0333333333333334,0.0,0.78,1.08,1.86,8.941,1.08,3.48,0.3,0.394,-0.045,72.0,195.0,26.44,0,58.14,53.31,0.572
Artem Zub,D,RUS,259.0,328,0.7896,20.67921492921493,18.100257400257398,0.10804375804375801,2.470913770913771,0.168,0.706,0.874,3.081,4.783,4.414,0.011,0.625,0.124,75.0,201.0,25.12,2,51.7,54.39,0.131
Artemi Panarin,LW,RUS,322.0,328,0.9817,20.03840579710145,16.61935817805383,3.4190476190476193,0.0,1.33,2.25,3.58,9.001,0.493,0.679,1.2,0.298,0.019,72.0,176.0,23.87,0,54.89,52.74,0.621
Artturi Lehkonen,LW,FIN,248.0,328,0.7561,19.487836021505377,15.472849462365591,2.724798387096774,1.2901881720430106,1.055,1.155,2.21,6.878,1.651,2.731,0.484,0.371,0.351,71.0,179.0,24.96,0,56.01,56.72,1.0
Auston Matthews,C,USA,282.0,328,0.8598,20.61081560283688,16.545567375886527,3.2231087470449173,0.8421394799054374,1.745,1.59,3.334,12.222,3.665,2.632,0.97,0.277,0.245,75.0,215.0,26.87,1,51.33,53.37,1.201
Axel Sandin Pellikka,D,,68.0,82,0.8293,16.200000000000003,14.183333333333334,1.7333333333333334,0.2833333333333333,0.381,0.763,1.144,3.704,2.941,0.926,0.381,0.265,-0.294,,,,0,,,
Barclay Goodrow,RW,CAN,321.0,328,0.9787,12.935617860851504,10.820041536863966,0.20887850467289718,1.9066978193146416,0.361,0.549,0.91,4.176,3.901,8.424,0.029,0.885,-0.202,74.0,210.0,26.96,21,41.58,40.56,0.51
Barrett Hayton,C,CAN,264.0,328,0.8049,16.372853535353535,13.343497474747476,2.149558080808081,0.8797979797979798,0.722,0.999,1.721,7.19,1.68,2.29,0.458,0.633,-0.08,73.0,200.0,26.38,1,55.93,56.61,0.999
Beck Malenstyn,LW,CAN,247.0,328,0.753,11.92591093117409,10.031983805668016,0.0105937921727395,1.883333333333333,0.367,0.591,0.957,4.97,4.807,15.236,0.0,0.381,-0.069,75.0,209.0,26.12,4,43.97,43.27,0.62
Beckett Sennecke,F,CAN,82.0,82,1.0,17.416666666666668,15.050000000000002,2.333333333333333,0.0333333333333333,0.966,1.554,2.521,8.276,1.008,4.075,0.546,0.756,-0.146,75.0,206.0,25.75,0,52.37,53.36,1.032
Ben Chiarot,D,CAN,316.0,328,0.9634,20.598892405063292,18.455221518987344,0.18470464135021097,1.9589662447257383,0.175,0.442,0.618,3.954,5.826,5.595,0.009,0.794,-0.184,75.0,222.0,27.75,3,44.75,44.81,0.159
Benjamin Kindel,C,,77.0,82,0.939,15.033333333333333,12.583333333333334,1.8166666666666669,0.6333333333333333,0.881,0.933,1.814,7.827,3.006,1.555,0.518,0.234,-0.065,,,,0,,,
Berkly Catton,F,CAN,66.0,82,0.8049,12.916666666666666,12.066666666666666,0.85,0.0,0.493,0.704,1.196,5.49,2.111,0.563,0.141,0.47,-0.121,70.0,179.0,25.68,1,46.98,48.87,0.68
Blake Coleman,C,USA,311.0,328,0.9482,16.792122186495178,14.12374062165059,0.927706323687031,1.7406752411575563,0.954,0.954,1.907,8.605,2.413,6.468,0.103,0.691,0.122,71.0,199.0,27.75,3,53.62,52.52,0.902
Blake Lizotte,C,USA,257.0,328,0.7835,12.80129701686122,11.07775616083009,0.058041504539559,1.6654993514915692,0.657,0.948,1.605,5.179,2.389,4.906,0.018,0.549,0.093,69.0,176.0,25.99,2,51.01,49.37,0.569
Bo Horvat,C,CAN,309.0,328,0.9421,20.275242718446602,15.781607335490833,3.217583603020496,1.2760517799352749,1.245,1.168,2.413,9.06,1.676,2.576,0.603,0.366,0.006,73.0,225.0,29.68,1,51.75,51.38,0.775
Bobby Brink,RW,USA,204.0,246,0.8293,14.622385620915033,12.584068627450979,2.0263071895424836,0.01200980392156858,0.764,1.126,1.891,5.833,1.871,4.304,0.322,0.275,-0.083,68.0,169.0,25.69,0,48.5,51.04,0.627
Bowen Byram,D,CAN,279.0,328,0.8506,21.825985663082438,19.135603345280764,1.2814217443249702,1.4089605734767023,0.384,0.926,1.31,3.468,3.616,2.966,0.158,0.663,0.118,73.0,205.0,27.04,3,49.22,47.48,0.233
Brad Marchand,LW,CAN,278.0,328,0.8476,18.462050359712226,13.66223021582734,3.3627697841726616,1.4370503597122302,1.169,1.625,2.794,8.429,1.251,3.659,1.029,0.914,0.022,69.0,180.0,26.58,2,49.64,49.27,0.805
Braden Schneider,D,CAN,325.0,328,0.9909,17.465538461538458,15.864051282051282,0.11728205128205126,1.4842051282051283,0.19,0.613,0.803,3.922,5.803,6.585,0.0,0.234,0.037,75.0,206.0,25.75,3,46.7,46.32,0.156
