Name,Pos,Group,Nationality,GP,TOI_GP,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,G_60,A_60,SOG_60,BLK_60,HIT_60,PP_PTS_60,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,PIM_GP,Fights,xGF_pct_5v5,ixG_60_5v5,Height_in,Weight_lbs,BMI,Cluster,Auto_Label
Damon Severson,D,D,CAN,289.0,20.255074971164937,18.166032295271048,1.0360438292964245,1.0529988465974625,0.307,0.902,3.833,3.977,1.753,0.113,18.166032295271048,1.0360438292964245,1.0529988465974625,0.626,3,51.67,0.235,74.0,204.0,26.19,2,Two-Way Player
Darnell Nurse,D,D,CAN,321.0,22.159916926272068,19.211889927310487,0.7952232606438213,2.1528037383177567,0.287,0.827,6.208,5.381,5.162,0.067,19.211889927310487,0.7952232606438213,2.1528037383177567,0.994,13,53.54,0.235,76.0,215.0,26.17,2,Two-Way Player
Denton Mateychuk,D,D,CAN,120.0,18.735416666666666,16.816666666666666,0.61875,1.3,0.454,0.721,3.523,4.137,1.388,0.08,16.816666666666666,0.61875,1.3,0.233,0,49.55,0.197,71.0,188.0,26.22,2,Two-Way Player
Devon Toews,D,D,CAN,306.0,23.90098039215686,19.66492374727669,1.5412854030501089,2.694771241830065,0.263,1.116,4.734,3.56,1.911,0.131,19.66492374727669,1.5412854030501089,2.694771241830065,0.333,0,55.54,0.253,73.0,191.0,25.2,2,Two-Way Player
Dmitry Orlov,D,D,RUS,306.0,20.11917211328976,17.6119825708061,1.1145969498910675,1.3925925925925926,0.214,1.023,4.493,2.748,4.649,0.312,17.6119825708061,1.1145969498910675,1.3925925925925926,0.425,0,54.11,0.196,71.0,215.0,29.98,2,Two-Way Player
Drew Doughty,D,D,CAN,265.0,24.97421383647799,20.377987421383647,2.686352201257862,1.9098742138364777,0.299,0.988,3.871,3.327,2.738,0.49,20.377987421383647,2.686352201257862,1.9098742138364777,0.521,0,54.9,0.116,73.0,210.0,27.7,2,Two-Way Player
Filip Hronek,D,D,CZE,288.0,23.564641203703705,19.576157407407408,1.9398148148148149,2.0486689814814816,0.239,1.255,4.35,2.829,3.784,0.486,19.576157407407408,1.9398148148148149,2.0486689814814816,0.503,1,49.77,0.15,72.0,190.0,25.77,2,Two-Way Player
Gustav Forsling,D,D,SWE,321.0,22.76858774662513,19.00763239875389,0.6917964693665628,3.069158878504673,0.296,0.846,5.55,3.243,2.586,0.082,19.00763239875389,0.6917964693665628,3.069158878504673,0.467,2,54.46,0.196,73.0,199.0,26.25,2,Two-Way Player
Hampus Lindholm,D,D,SWE,237.0,22.58087201125176,18.23206751054852,1.8033755274261605,2.5454289732770743,0.235,1.02,4.395,3.588,1.614,0.303,18.23206751054852,1.8033755274261605,2.5454289732770743,0.764,1,51.01,0.16,76.0,217.0,26.41,2,Two-Way Player
Jaccob Slavin,D,D,USA,276.0,21.441183574879226,18.48943236714976,0.180012077294686,2.7717391304347827,0.203,0.801,4.613,4.187,1.196,0.0,18.48943236714976,0.180012077294686,2.7717391304347827,0.101,0,56.67,0.203,75.0,207.0,25.87,2,Two-Way Player
Jackson LaCombe,D,D,USA,230.0,22.034710144927537,17.948768115942027,2.0182608695652173,2.0676811594202897,0.308,1.089,4.096,4.676,2.297,0.331,17.948768115942027,2.0182608695652173,2.0676811594202897,0.309,1,49.78,0.25,74.0,208.0,26.7,2,Two-Way Player
Jake Sanderson,D,D,USA,303.0,23.54834983498349,17.576292629262927,3.042739273927393,2.9293179317931792,0.328,1.194,5.315,4.852,1.337,0.698,17.576292629262927,3.042739273927393,2.9293179317931792,0.182,1,54.34,0.199,74.0,202.0,25.93,2,Two-Way Player
Jake Walman,D,D,CAN,244.0,20.31113387978142,17.05129781420765,1.2049180327868851,2.054918032786885,0.436,0.763,6.15,6.138,1.949,0.194,17.05129781420765,1.2049180327868851,2.054918032786885,0.578,1,45.37,0.233,73.0,218.0,28.76,2,Two-Way Player
Jalen Chatfield,D,D,USA,301.0,17.041029900332227,15.601439645625694,0.0243078626799556,1.415282392026578,0.269,0.561,4.644,2.995,2.761,0.0,15.601439645625694,0.0243078626799556,1.415282392026578,0.435,3,54.48,0.209,73.0,209.0,27.57,2,Two-Way Player
Jared Spurgeon,D,D,CAN,240.0,20.783541666666668,17.20763888888889,1.5560416666666663,2.019861111111111,0.289,0.83,4.415,5.581,2.586,0.265,17.20763888888889,1.5560416666666663,2.019861111111111,0.183,0,53.98,0.172,69.0,166.0,24.51,2,Two-Way Player
John Carlson,D,D,USA,272.0,24.11023284313725,18.449448529411764,3.171262254901961,2.4895220588235296,0.348,1.409,5.672,4.739,1.702,0.558,18.449448529411764,3.171262254901961,2.4895220588235296,0.39,0,52.11,0.252,75.0,220.0,27.5,2,Two-Way Player
Justin Faulk,D,D,USA,298.0,22.46711409395973,18.873489932885903,2.046085011185682,1.5475391498881432,0.296,1.066,5.377,4.337,3.11,0.341,18.873489932885903,2.046085011185682,1.5475391498881432,0.487,1,46.56,0.189,72.0,208.0,28.21,2,Two-Way Player
K'Andre Miller,D,D,USA,305.0,21.92639344262295,19.318743169398907,0.6521857923497267,1.955464480874317,0.287,0.942,3.966,3.687,4.647,0.081,19.318743169398907,0.6521857923497267,1.955464480874317,0.57,1,51.66,0.186,77.0,210.0,24.9,2,Two-Way Player
Kris Letang,D,D,CAN,294.0,23.64943310657596,19.73095238095238,2.20374149659864,1.7147392290249432,0.293,1.053,5.117,3.771,4.436,0.414,19.73095238095238,2.20374149659864,1.7147392290249432,0.619,0,48.81,0.193,72.0,199.0,26.99,2,Two-Way Player
MacKenzie Weegar,D,D,CAN,323.0,22.63962848297214,18.86295149638803,1.912177502579979,1.864499484004128,0.295,1.001,5.793,5.612,6.318,0.369,18.86295149638803,1.912177502579979,1.864499484004128,0.666,5,49.37,0.201,72.0,206.0,27.94,2,Two-Way Player
Mason Lohrei,D,D,USA,191.0,17.9520942408377,16.192670157068065,1.4667539267015706,0.2926701570680627,0.28,0.98,3.64,4.515,1.522,0.42,16.192670157068065,1.4667539267015706,0.2926701570680627,0.283,0,46.26,0.193,77.0,218.0,25.85,2,Two-Way Player
Mattias Ekholm,D,D,SWE,304.0,21.261184210526316,18.286567982456138,0.8917763157894738,2.082839912280701,0.325,1.077,5.44,3.871,3.101,0.158,18.286567982456138,0.8917763157894738,2.082839912280701,0.444,1,59.65,0.294,77.0,225.0,26.68,2,Two-Way Player
Mike Matheson,D,D,CAN,288.0,24.836574074074072,19.39930555555556,2.183796296296296,3.2534722222222223,0.268,1.107,4.832,4.899,1.954,0.403,19.39930555555556,2.183796296296296,3.2534722222222223,0.611,2,45.04,0.185,74.0,196.0,25.16,2,Two-Way Player
Mikhail Sergachev,D,D,RUS,268.0,24.143781094527363,18.651243781094525,2.8300995024875624,2.6624378109452733,0.343,1.465,4.636,4.479,2.439,0.77,18.651243781094525,2.8300995024875624,2.6624378109452733,0.541,1,51.04,0.181,75.0,212.0,26.5,2,Two-Way Player
Morgan Rielly,D,D,CAN,297.0,21.93597081930415,18.94371492704826,2.404433221099888,0.5878226711560044,0.267,1.354,5.213,4.301,2.063,0.525,18.94371492704826,2.404433221099888,0.5878226711560044,0.33,4,49.64,0.199,73.0,219.0,28.89,2,Two-Way Player
Moritz Seider,D,D,DEU,328.0,24.0375,19.008333333333333,2.8666666666666667,2.1625,0.244,1.202,4.749,5.814,5.768,0.639,19.008333333333333,2.8666666666666667,2.1625,0.573,2,49.44,0.168,74.0,210.0,26.96,2,Two-Way Player
Nate Schmidt,D,D,USA,296.0,17.905405405405407,15.536092342342345,1.2096283783783783,1.1596846846846849,0.215,0.623,3.758,3.702,3.068,0.147,15.536092342342345,1.2096283783783783,1.1596846846846849,0.257,2,56.47,0.165,72.0,197.0,26.72,2,Two-Way Player
Neal Pionk,D,D,USA,284.0,21.76026995305164,18.25463615023474,1.6894953051643191,1.816138497652582,0.272,0.864,4.932,4.107,5.971,0.243,18.25463615023474,1.6894953051643191,1.816138497652582,0.662,4,48.28,0.156,72.0,190.0,25.77,2,Two-Way Player
Noah Hanifin,D,D,USA,312.0,22.583974358974363,19.24551282051282,1.518162393162393,1.820299145299145,0.281,1.013,5.279,4.019,1.856,0.324,19.24551282051282,1.518162393162393,1.820299145299145,0.272,1,54.29,0.205,75.0,206.0,25.75,2,Two-Way Player
Oliver Ekman-Larsson,D,D,SWE,289.0,20.01309111880046,17.356459054209918,1.7014994232987313,0.955132641291811,0.239,1.027,4.554,2.78,3.703,0.29,17.356459054209918,1.7014994232987313,0.955132641291811,0.761,0,49.94,0.182,74.0,190.0,24.39,2,Two-Way Player
Owen Power,D,D,CAN,315.0,22.38216931216931,19.30407407407408,1.5122222222222224,1.565873015873016,0.213,0.953,4.23,3.447,1.081,0.17,19.30407407407408,1.5122222222222224,1.565873015873016,0.267,0,48.01,0.203,78.0,226.0,26.11,2,Two-Way Player
Pavel Mintyukov,D,D,RUS,204.0,18.251307189542484,15.70874183006536,1.1666666666666663,1.3758986928104575,0.274,0.838,3.803,4.335,3.304,0.193,15.70874183006536,1.1666666666666663,1.3758986928104575,0.299,1,46.81,0.228,73.0,207.0,27.31,2,Two-Way Player
Rasmus Andersson,D,D,SWE,319.0,23.75177638453501,19.117450365726228,2.31687565308255,2.3174503657262275,0.38,0.934,5.219,5.282,1.307,0.404,19.117450365726228,2.31687565308255,2.3174503657262275,0.639,2,48.39,0.235,73.0,202.0,26.65,2,Two-Way Player
Rasmus Sandin,D,D,SWE,294.0,19.65017006802721,17.832142857142856,1.2166099773242631,0.6014172335600907,0.197,1.018,3.407,4.59,4.05,0.228,17.832142857142856,1.2166099773242631,0.6014172335600907,0.333,4,49.47,0.167,71.0,189.0,26.36,2,Two-Way Player
Sam Malinski,D,D,USA,181.0,16.45570902394107,15.735174953959485,0.2629834254143646,0.4575506445672191,0.322,0.987,6.245,4.512,2.357,0.081,15.735174953959485,0.2629834254143646,0.4575506445672191,0.243,0,55.38,0.233,71.0,190.0,26.5,2,Two-Way Player
Sean Durzi,D,D,CAN,238.0,20.672829131652662,17.42983193277311,2.164705882352941,1.0782913165266106,0.329,1.098,4.573,5.39,2.037,0.463,17.42983193277311,2.164705882352941,1.0782913165266106,0.765,4,51.69,0.205,73.0,196.0,25.86,2,Two-Way Player
Sean Walker,D,D,CAN,314.0,18.27170912951168,16.304033970276006,0.5236730360934183,1.4440021231422504,0.282,0.648,5.94,4.664,4.466,0.031,16.304033970276006,0.5236730360934183,1.4440021231422504,0.608,1,55.33,0.257,71.0,191.0,26.64,2,Two-Way Player
Seth Jones,D,D,USA,254.0,24.589698162729658,19.2497375328084,3.117257217847769,2.2227034120734905,0.346,0.961,5.447,4.092,3.132,0.538,19.2497375328084,3.117257217847769,2.2227034120734905,0.409,0,46.86,0.172,76.0,213.0,25.92,2,Two-Way Player
Thomas Chabot,D,D,CAN,256.0,23.42109375,19.663932291666665,2.6659505208333334,1.0912109375,0.36,1.111,5.614,4.673,2.172,0.42,19.663932291666665,2.6659505208333334,1.0912109375,0.469,0,52.14,0.226,73.0,200.0,26.38,2,Two-Way Player
Thomas Harley,D,D,CAN,233.0,22.294134477825462,19.34706723891273,1.7101573676680972,1.2369098712446351,0.427,1.132,5.036,4.632,1.617,0.358,19.34706723891273,1.7101573676680972,1.2369098712446351,0.266,0,52.51,0.246,75.0,214.0,26.75,2,Two-Way Player
Travis Sanheim,D,D,CAN,325.0,23.20805128205128,19.76784615384615,0.9490769230769232,2.4911282051282053,0.286,0.78,3.906,4.837,2.267,0.088,19.76784615384615,0.9490769230769232,2.4911282051282053,0.455,0,52.15,0.246,76.0,222.0,27.02,2,Two-Way Player
Vladislav Gavrikov,D,D,RUS,313.0,22.36096911608093,19.064909478168264,0.4258253461128859,2.8702342917997874,0.266,0.652,3.721,4.055,1.963,0.051,19.064909478168264,0.4258253461128859,2.8702342917997874,0.46,0,53.9,0.179,75.0,210.0,26.25,2,Two-Way Player
Zeev Buium,D,D,USA,76.0,19.55,17.233333333333334,2.283333333333333,0.0333333333333333,0.242,0.808,2.948,2.221,1.131,0.525,17.233333333333334,2.283333333333333,0.0333333333333333,0.539,1,45.41,0.151,72.0,183.0,24.82,2,Two-Way Player
Arber Xhekaj,D,D,CAN,230.0,14.088478260869564,13.23913043478261,0.3714492753623188,0.4778985507246376,0.185,0.426,4.537,3.722,11.888,0.056,13.23913043478261,0.3714492753623188,0.4778985507246376,1.809,28,46.67,0.141,76.0,240.0,29.21,3,Enforcer
Brenden Dillon,D,D,CAN,323.0,18.70397316821465,16.197420020639836,0.0867905056759545,2.419762641898865,0.149,0.586,2.632,4.271,8.263,0.0,16.197420020639836,0.0867905056759545,2.419762641898865,1.003,22,49.93,0.108,76.0,225.0,27.38,3,Enforcer
Connor Clifton,D,D,USA,280.0,16.791845238095238,14.754107142857144,0.0279166666666666,2.0098214285714286,0.153,0.651,3.42,5.577,10.209,0.0,14.754107142857144,0.0279166666666666,2.0098214285714286,0.879,14,48.03,0.171,72.0,196.0,26.58,3,Enforcer
Connor Murphy,D,D,USA,274.0,19.19914841849148,16.76411192214112,0.0591240875912408,2.375912408759124,0.182,0.468,3.308,6.513,5.566,0.0,16.76411192214112,0.0591240875912408,2.375912408759124,0.847,16,45.32,0.131,76.0,212.0,25.8,3,Enforcer
Jacob Trouba,D,D,USA,309.0,21.431337648327936,18.24573894282632,0.5820388349514563,2.603559870550161,0.199,0.716,5.481,6.668,6.487,0.063,18.24573894282632,0.5820388349514563,2.603559870550161,0.754,13,47.9,0.195,75.0,212.0,26.5,3,Enforcer
Jeremy Lauzon,D,D,CAN,242.0,17.622865013774106,15.351170798898073,0.0360192837465564,2.235674931129477,0.141,0.422,3.911,4.46,14.266,0.0,15.351170798898073,0.0360192837465564,2.235674931129477,1.198,22,51.07,0.19,75.0,225.0,28.12,3,Enforcer
Josh Manson,D,D,CAN,230.0,17.801304347826086,15.872608695652174,0.0371014492753623,1.8915942028985504,0.234,0.953,5.232,4.514,8.119,0.015,15.872608695652174,0.0371014492753623,1.8915942028985504,1.078,12,53.9,0.245,75.0,218.0,27.25,3,Enforcer
Luke Schenn,D,D,CAN,259.0,15.410102960102964,13.885456885456884,0.0224581724581724,1.502187902187902,0.105,0.541,4.119,5.036,14.567,0.0,13.885456885456884,0.0224581724581724,1.502187902187902,0.83,22,48.39,0.168,74.0,225.0,28.89,3,Enforcer
Nick Seeler,D,D,USA,305.0,16.58710382513661,14.924699453551913,0.0365573770491802,1.6258469945355194,0.142,0.534,4.27,8.48,6.037,0.0,14.924699453551913,0.0365573770491802,1.6258469945355194,0.682,12,52.49,0.175,75.0,197.0,24.62,3,Enforcer
Nikita Zadorov,D,D,RUS,319.0,19.409561128526647,17.14012539184953,0.1338035527690699,2.135632183908046,0.252,0.572,4.186,3.411,7.423,0.01,17.14012539184953,0.1338035527690699,2.135632183908046,1.574,22,48.0,0.147,79.0,255.0,28.72,3,Enforcer
Radko Gudas,D,D,CZE,275.0,18.3530303030303,15.86351515151515,0.0626060606060605,2.4269090909090907,0.131,0.63,4.161,6.455,11.52,0.0,15.86351515151515,0.0626060606060605,2.4269090909090907,1.309,14,50.16,0.133,72.0,208.0,28.21,3,Enforcer
Simon Benoit,D,D,CAN,293.0,17.602332195676908,15.404550625711034,0.0161547212741751,2.181626848691695,0.058,0.302,2.815,5.293,10.005,0.0,15.404550625711034,0.0161547212741751,2.181626848691695,0.737,10,44.19,0.1,76.0,210.0,25.56,3,Enforcer
Adam Henrique,C,F,CAN,290.0,15.688620689655174,12.297586206896552,1.4495402298850573,1.941494252873563,0.804,0.923,6.159,3.745,2.888,0.382,12.297586206896552,1.4495402298850573,1.941494252873563,0.321,1,48.26,0.707,72.0,195.0,26.44,0,Defensive Forward
Alex Iafallo,C,F,USA,302.0,15.005242825607064,12.044315673289184,1.465673289183223,1.495253863134658,0.702,0.927,6.302,2.873,3.217,0.371,12.044315673289184,1.465673289183223,1.495253863134658,0.182,1,49.85,0.654,72.0,201.0,27.26,0,Defensive Forward
Alexander Kerfoot,C,F,CAN,279.0,15.388291517323776,12.360095579450418,0.8685185185185186,2.1596774193548387,0.573,1.076,5.087,3.019,3.019,0.224,12.360095579450418,0.8685185185185186,2.1596774193548387,0.333,1,53.2,0.669,71.0,185.0,25.8,0,Defensive Forward
Alexander Wennberg,C,F,SWE,318.0,18.96493710691824,14.429926624737943,2.531761006289308,2.003249475890985,0.507,1.065,3.641,3.094,1.462,0.398,14.429926624737943,2.531761006289308,2.003249475890985,0.208,0,45.55,0.302,74.0,190.0,24.39,0,Defensive Forward
Alexey Toropchenko,RW,F,RUS,296.0,12.268975225225228,10.978772522522522,0.0826576576576576,1.2075450450450451,0.529,0.611,5.915,3.47,10.607,0.0,10.978772522522522,0.0826576576576576,1.2075450450450451,0.321,3,43.28,0.719,78.0,225.0,26.0,0,Defensive Forward
Andrew Copp,C,F,USA,296.0,16.555236486486486,13.56233108108108,1.116554054054054,1.8763513513513512,0.502,1.224,5.045,2.388,1.445,0.208,13.56233108108108,1.116554054054054,1.8763513513513512,0.28,1,47.81,0.658,73.0,200.0,26.38,0,Defensive Forward
Beck Malenstyn,LW,F,CAN,247.0,11.92591093117409,10.031983805668016,0.0105937921727395,1.883333333333333,0.367,0.591,4.97,4.807,15.236,0.0,10.031983805668016,0.0105937921727395,1.883333333333333,0.381,4,43.27,0.62,75.0,209.0,26.12,0,Defensive Forward
Blake Lizotte,C,F,USA,257.0,12.80129701686122,11.07775616083009,0.058041504539559,1.6654993514915692,0.657,0.948,5.179,2.389,4.906,0.018,11.07775616083009,0.058041504539559,1.6654993514915692,0.549,2,49.37,0.569,69.0,176.0,25.99,0,Defensive Forward
Brandon Tanev,LW,F,CAN,283.0,13.043345111896349,11.096407538280328,0.0401060070671378,1.906831566548881,0.536,0.699,5.348,4.372,10.744,0.0,11.096407538280328,0.0401060070671378,1.906831566548881,0.569,11,46.78,0.683,72.0,189.0,25.63,0,Defensive Forward
Brett Howden,C,F,CAN,264.0,14.02222222222222,12.795328282828285,0.1864898989898989,1.0404040404040402,0.794,0.729,5.187,2.593,6.71,0.049,12.795328282828285,0.1864898989898989,1.0404040404040402,0.686,5,49.87,0.72,74.0,201.0,25.8,0,Defensive Forward
Casey Cizikas,C,F,CAN,314.0,13.27319532908705,11.695488322717624,0.1038216560509553,1.4738853503184717,0.475,0.662,5.327,3.628,9.761,0.029,11.695488322717624,0.1038216560509553,1.4738853503184717,0.468,4,48.22,0.717,71.0,191.0,26.64,0,Defensive Forward
Chandler Stephenson,C,F,CAN,314.0,19.07356687898089,14.748991507431,2.633864118895966,1.690711252653928,0.611,1.553,3.827,2.024,1.703,0.621,14.748991507431,2.633864118895966,1.690711252653928,0.283,1,39.77,0.3,72.0,201.0,27.26,0,Defensive Forward
Charlie Coyle,C,F,USA,329.0,17.510840932117528,13.6693515704154,1.575683890577508,2.26580547112462,0.812,1.25,5.676,2.468,4.353,0.323,13.6693515704154,1.575683890577508,2.26580547112462,0.322,0,50.9,0.706,75.0,221.0,27.62,0,Defensive Forward
Christian Dvorak,C,F,USA,256.0,16.66119791666667,13.359895833333333,1.183984375,2.117317708333333,0.633,1.069,5.317,2.968,1.561,0.155,13.359895833333333,1.183984375,2.117317708333333,0.207,1,47.57,0.724,73.0,190.0,25.06,0,Defensive Forward
Cole Sillinger,C,F,USA,288.0,15.400462962962962,13.373379629629632,0.795023148148148,1.2320601851851851,0.473,1.001,6.967,2.57,5.546,0.108,13.373379629629632,0.795023148148148,1.2320601851851851,0.486,4,45.74,0.649,72.0,202.0,27.39,0,Defensive Forward
Colin Blackwell,C,F,USA,230.0,12.24514492753623,10.370507246376812,0.0550724637681159,1.8195652173913044,0.426,0.724,5.646,2.109,6.178,0.043,10.370507246376812,0.0550724637681159,1.8195652173913044,0.313,0,47.41,0.627,68.0,181.0,27.52,0,Defensive Forward
Colton Sissons,C,F,CAN,301.0,14.928626799557032,11.876411960132891,0.8993909191583609,2.152823920265781,0.534,0.761,4.967,3.231,6.596,0.16,11.876411960132891,0.8993909191583609,2.152823920265781,0.359,2,50.9,0.702,73.0,200.0,26.38,0,Defensive Forward
Connor Brown,RW,F,CAN,232.0,14.80603448275862,12.414224137931036,0.6691091954022987,1.7227011494252875,0.611,0.873,6.096,1.729,1.432,0.14,12.414224137931036,0.6691091954022987,1.7227011494252875,0.181,0,50.45,0.714,72.0,184.0,24.95,0,Defensive Forward
Connor Dewar,C,F,CAN,281.0,12.043653618030842,9.941577698695136,0.0574139976275206,2.044661921708185,0.621,0.745,5.833,3.032,9.219,0.0,9.941577698695136,0.0574139976275206,2.044661921708185,0.395,7,48.8,0.697,70.0,187.0,26.83,0,Defensive Forward
Danila Yurov,RW,F,RUS,73.0,13.266666666666666,12.433333333333334,0.6,0.2333333333333333,0.743,0.929,4.956,2.664,3.841,0.186,12.433333333333334,0.6,0.2333333333333333,0.384,0,49.27,0.786,73.0,178.0,23.48,0,Defensive Forward
Danton Heinen,C,F,CAN,264.0,12.670959595959596,11.52443181818182,0.4804924242424241,0.6660353535353535,0.717,1.058,6.098,2.386,5.273,0.09,11.52443181818182,0.4804924242424241,0.6660353535353535,0.33,1,49.85,0.718,74.0,187.0,24.01,0,Defensive Forward
David KÃ¤mpf,C,F,CZE,259.0,13.985521235521231,11.678185328185329,0.0486486486486486,2.258687258687259,0.364,0.712,4.423,1.822,4.191,0.0,11.678185328185329,0.0486486486486486,2.258687258687259,0.201,0,44.09,0.453,74.0,198.0,25.42,0,Defensive Forward
Eeli Tolvanen,RW,F,FIN,301.0,15.130730897009968,12.89235880398671,1.7854928017718716,0.4528792912513842,0.909,0.975,7.206,3.583,9.551,0.474,12.89235880398671,1.7854928017718716,0.4528792912513842,0.302,1,45.81,0.629,70.0,182.0,26.11,0,Defensive Forward
Eetu Luostarinen,C,F,FIN,317.0,15.90757097791798,12.891587802313357,0.7934805467928496,2.222502628811777,0.583,0.928,5.295,2.665,5.913,0.107,12.891587802313357,0.7934805467928496,2.222502628811777,0.36,1,52.85,0.664,75.0,191.0,23.87,0,Defensive Forward
Elias Pettersson,C,F,SWE,634.0,17.393690851735013,14.224132492113563,2.160199789695058,1.0093585699263932,0.767,1.458,5.844,3.966,4.521,0.718,14.224132492113563,2.160199789695058,1.0093585699263932,0.325,2,46.77,0.443,74.0,176.0,22.59,0,Defensive Forward
Eric Robinson,LW,F,USA,268.0,12.309390547263682,11.13942786069652,0.0134328358208954,1.156529850746269,0.746,0.782,6.42,1.31,7.839,0.0,11.13942786069652,0.0134328358208954,1.156529850746269,0.16,1,53.52,0.984,74.0,220.0,28.24,0,Defensive Forward
Erik Haula,LW,F,FIN,306.0,16.251906318082792,13.272821350762529,1.1215686274509806,1.8575163398692809,0.664,0.965,6.72,2.28,4.886,0.326,13.272821350762529,1.1215686274509806,1.8575163398692809,0.667,3,50.79,0.82,71.0,191.0,26.64,0,Defensive Forward
Fedor Svechkov,C,F,RUS,122.0,12.39808743169399,11.350546448087432,0.5838797814207651,0.4636612021857924,0.476,0.873,5.315,2.102,3.649,0.198,11.350546448087432,0.5838797814207651,0.4636612021857924,0.295,0,47.27,0.568,72.0,187.0,25.36,0,Defensive Forward
J.T. Compher,LW,F,USA,317.0,18.04737118822292,14.297476340694008,1.8347003154574129,1.915194532071504,0.608,1.07,4.772,2.716,1.458,0.357,14.297476340694008,1.8347003154574129,1.915194532071504,0.372,2,45.03,0.567,72.0,191.0,25.9,0,Defensive Forward
Jack Drury,C,F,USA,266.0,12.892230576441102,11.067418546365914,0.6776942355889723,1.1471177944862154,0.49,0.91,6.421,2.747,2.327,0.175,11.067418546365914,0.6776942355889723,1.1471177944862154,0.376,4,55.83,0.646,71.0,186.0,25.94,0,Defensive Forward
Jake Evans,C,F,CAN,286.0,15.421328671328672,12.41223776223776,0.0745920745920745,2.9344988344988345,0.463,0.993,3.972,2.938,4.435,0.014,12.41223776223776,0.0745920745920745,2.9344988344988345,0.315,2,46.31,0.534,72.0,190.0,25.77,0,Defensive Forward
Jason Dickinson,C,F,CAN,283.0,15.965901060070673,13.4236160188457,0.4270906949352179,2.1151943462897527,0.598,0.704,4.9,3.399,5.869,0.04,13.4236160188457,0.4270906949352179,2.1151943462897527,0.456,3,45.92,0.527,74.0,200.0,25.68,0,Defensive Forward
Jean-Gabriel Pageau,C,F,CAN,305.0,16.49792349726776,13.070765027322404,1.45,1.977158469945355,0.656,1.133,5.068,2.981,7.464,0.191,13.070765027322404,1.45,1.977158469945355,0.177,2,49.1,0.689,71.0,180.0,25.1,0,Defensive Forward
Jesper Boqvist,C,F,SWE,268.0,12.043656716417912,11.164614427860696,0.1958333333333333,0.6832089552238805,0.595,0.725,5.0,1.766,8.421,0.019,11.164614427860696,0.1958333333333333,0.6832089552238805,0.149,0,49.44,0.538,73.0,191.0,25.2,0,Defensive Forward
Joe Veleno,C,F,,296.0,12.76233108108108,11.62713963963964,0.3633445945945945,0.7718468468468468,0.492,0.619,4.733,2.462,8.974,0.143,11.62713963963964,0.3633445945945945,0.7718468468468468,0.307,0,45.01,0.502,,,,0,Defensive Forward
Joel Armia,RW,F,FIN,257.0,14.645201037613488,11.756355382619976,0.6561608300907912,2.232684824902724,0.765,0.717,6.44,2.248,3.937,0.08,11.756355382619976,0.6561608300907912,2.232684824902724,0.397,0,47.45,0.609,75.0,215.0,26.87,0,Defensive Forward
Jordan Martinook,LW,F,CAN,320.0,15.081354166666666,13.090520833333333,0.0673437499999999,1.9234895833333328,0.671,0.957,6.602,2.101,4.202,0.0,13.090520833333333,0.0673437499999999,1.9234895833333328,0.469,2,57.24,0.841,73.0,208.0,27.44,0,Defensive Forward
Jordan Staal,C,F,CAN,311.0,15.793408360128618,13.255573419078242,0.3084137191854233,2.229421221864952,0.733,0.928,5.631,2.089,7.342,0.061,13.255573419078242,0.3084137191854233,2.229421221864952,0.389,2,57.95,0.824,76.0,220.0,26.78,0,Defensive Forward
Kasperi Kapanen,RW,F,FIN,247.0,13.538798920377866,12.003508771929823,0.6455465587044534,0.8897435897435896,0.628,0.933,6.208,1.417,5.849,0.108,12.003508771929823,0.6455465587044534,0.8897435897435896,0.251,0,46.11,0.483,73.0,194.0,25.59,0,Defensive Forward
Kevin Stenlund,C,F,SWE,297.0,13.396576879910215,10.61492704826038,0.2144781144781144,2.567171717171717,0.528,0.528,4.705,3.137,3.122,0.0,10.61492704826038,0.2144781144781144,2.567171717171717,0.492,0,45.42,0.479,75.0,213.0,26.62,0,Defensive Forward
Lars Eller,C,F,DNK,314.0,13.963694267515924,11.902229299363055,0.6005307855626327,1.4609341825902336,0.547,0.698,6.363,2.285,3.489,0.082,11.902229299363055,0.6005307855626327,1.4609341825902336,0.401,0,50.23,0.601,74.0,207.0,26.57,0,Defensive Forward
Lawson Crouse,LW,F,CAN,320.0,16.18927083333333,12.901822916666664,1.332760416666667,1.9546875,0.961,0.764,6.822,2.467,8.964,0.232,12.901822916666664,1.332760416666667,1.9546875,0.488,8,51.9,0.91,76.0,214.0,26.05,0,Defensive Forward
Logan O'Connor,RW,F,USA,232.0,14.184770114942529,12.182399425287358,0.0494971264367815,1.9528735632183911,0.583,0.766,5.306,2.571,4.649,0.0,12.182399425287358,0.0494971264367815,1.9528735632183911,0.435,5,54.99,0.664,72.0,175.0,23.73,0,Defensive Forward
Luke Glendening,C,F,USA,298.0,11.23199105145414,9.21549217002237,0.0238814317673377,1.992617449664429,0.341,0.251,3.997,4.015,7.834,0.0,9.21549217002237,0.0238814317673377,1.992617449664429,0.359,3,39.98,0.508,71.0,190.0,26.5,0,Defensive Forward
